ISP, PLAN,PRICE (INC. 8% GST),TOTAL POSSIBLE GB
ooredoo,Supernet 5M,216.0,666.0
ooredoo,Supernet 10M,432.0,1652.5
ooredoo,Supernet 20M,540.0,1717.5
ooredoo,Supernet 30M,756.0,1795.0
ooredoo,Supernet 40M,1132.92,1970.0
ooredoo,Supernet 1G,7558.92,6097.5
ooredoo,Supernet Unlimited 50M,1564.92,16200.0
ooredoo,Supernet Unlimited 100M,2968.92,32400.0
ooredoo,AirFibre 5G 1499,1618.92,2362.5
ooredoo,AirFibre 5G 1999,2158.92,2633.76
ooredoo,AirFibre 5G 2999,3238.92,3140.64
ooredoo,AirFibre 5G 5999,6478.92,5580.0
ooredoo,AirFibre 5G 749,808.92,1917.0
ooredoo,AirFibre 5G 999,1078.92,2115.0
ooredoo,AirFibre 5G 999,1078.92,2115.0
ooredoo,Faseyha 1099,1186.92,248.78
ooredoo,Faseyha 1549,1672.92,357.38
ooredoo,Faseyha 3549,3832.92,781.87
ooredoo,Faseyha 399,430.92,80.96
ooredoo,Faseyha 699,754.92,125.38
ooredoo,Faseyha 799,862.92,146.12
ooredoo,Faseyha MIFI 499,538.92,81.13
ooredoo,Faseyha MIFI 499,1186.92,239.77
ooredoo,Faseyha MIFI 499,970.92,150.53
ooredoo,Faseyha MIFI 499,754.92,120.79
dhiraagu,FIBRE 5M STARTER,270.0,666.0
dhiraagu,FIBRE 10M BASIC,432.0,1650.0
dhiraagu,FIBRE 25M STARTER,745.2,1780.0
dhiraagu,FIBRE 30M BASIC,853.2,1828.33
dhiraagu,FIBRE 40M,1177.2,1987.5
dhiraagu,FIBRE 40M,1177.2,1987.5
dhiraagu,FIBRE 15M STARTER,529.2,1700.0
dhiraagu,FIBRE 100M,2149.2,2475.0
dhiraagu,FIBRE 200M,3229.2,3082.5
dhiraagu,FIBRE 1G,7549.2,6097.5
dhiraagu,FIBRE 50M UNLIMITED,1609.2,16200.0
dhiraagu,FIBRE 100M UNLIMITED,3024.0,32400.0
Starlink,Standard,1080.0,64800.0
